Headline,Headline ID
"Confusion swirls, details murky in arrest of ISIS leader's 'wife'",172
Ebola Outbreak 2015 Update: ISIS Fighters May Have Contracted Deadly Virus,173
Tim Cook Reportedly Reveals Apple Watch Waterproofing Has Improved,174
ISIS Militants Allegedly Contracted Ebola,175
Is Ebola Virus Spreading Among ISIS Militants? Reports Claim Jihadists Seeking Cure at Mosul Hospital,176
Female Israeli fighter said abducted by Islamic State  Read more: Female Israeli fighter said abducted by Islamic State,177
Google Grows With $1.6 Billion in California Office Deals,178
"Boko Haram: Kidnapped Girls Have Been Married Off, Truce Never Happened",179
Does ISIS Have Ebola? Probably Not! Media Reports It Anyway,180
ISIS cracks down on five confirmed Ebola cases among fighters: official,181
Iraqi media says ISIS militants have contracted Ebola,182
"No, a bird didn't poop on Vladimir Putin",183
HORROR: ISIS Fighters Have Reportedly Contracted Ebola,184
Indian civil servant sacked 'after 24-year sickie',185
HBO and Apple in Talks for $15/Month Apple TV Streaming Service Launching in April,186
WHO: Reports of Suspected Ebola Cases in Iraq Untrue,187
Former PGA Tour player: Tiger Woods suspended for drug test failure,188
ISIS fighters 'have contracted Ebola': World Health Organisation investigating reports militants showed up at Iraqi hospital with lethal disease,189
Officials Refute Iraqi Media Reports That ISIS Members Have Contracted Ebola In Mosul,190
Judicial Watch's Farrell: ISIS Terrorists Did Cross Mexican Border,191
20-Year-Old Quarter Pounder Looks About the Same,192
Report: A Radically Redesigned 12-Inch MacBook Air Is Coming,193
DNA tests prove Lebanon IS holding ISIS chief al-Baghdadi's ex-wife and daughter after they were caught with fake passports,194
IRAQI HEALTH OFFICIAL: EBOLA HAS KILLED 5 ISIS FIGHTERS,195
ISIS fighters ‘have contracted Ebola’,196
Two blokes dared to eat 20-year-old burger for charity,197
Iraqi and Kurdish media reports cases of Ebola among Islamic State fighters in Mosul,198
Matt Taibbi on leave of absence from First Look Media,199
ISIS militants trick mother into ‘eating her kidnapped son’,200
Iraqi Official Dismisses ‘Unfounded’ Reports That ISIS Fighters Have Ebola,201
IRAQI AND KURDISH MEDIA REPORTS: ISIS FIGHTERS HAVE CONTRACTED EBOLA,202
Weaponized Ebola? ISIS Militants Said To Contract Deadly Virus,203
Daash Ebola transferred to Mosul {Google Translate],204
Biological Warfare on the Horizon? ISIS Soldiers May Be Infected With Ebola,205
"Boko Haram denies truce, says kidnapped girls married",206
Iraqi media: ISIS militants have contracted Ebola,207
ISIS Getting Ebola,208
Fears Islamic State could launch EBOLA attack on Britain after fighters 'contract virus',209
"Apple to Take Reservations for Trying On Apple Watch, Considered Platinum Model",210
Alleged audio of Michael Brown shooting has surfaced,211
"ISIS Militants Have Contracted Ebola: Iraqi, Kurdish Media Reports",212
‘The cub of Baghdadi': ISIS reports its youngest jihadist ‘got martyred’ in battle,213
Isis claims to behead US journalist,214
Nun Gives Birth To Baby Boy After Suffering Intense Stomach Pains,215
Government fires employee who skipped work for 24 years,216
Islamic State claims it executed American photojournalist James Foley,217
ISLAMIC STATE BEHEADS MISSING AMERICAN JOURNALIST JAMES WRIGHT FOLEY,218
ISIL allegedly kills US journalist in video,219
"Video showing American journalist beheaded believed real, officials and family say",220
Questions raised over Nicaragua 'meteorite',221
ISIS Fighters Getting Caught Coming Across the U.S.-Mexican Border?,222
Nicaragua Meteorite Impact Theory May Be Meteor-wrong,223
Islamic State Militants Claim to Have Beheaded US Journalist James Wright Foley,224
Obama Denounces James Foley's Execution: 'Today The Entire World Is Appalled',225
Obama denounces killing of journalist James Foley and pledges ‘justice’,226
Islamic State claims to have beheaded American journalist,227
Kim Jong-Un 'bans the name Kim Jong-un',228
"A Vice Guide To Spending $300,000 On Dinner",229
6 Islamist militants killed in US attack in Somalia,230
Indian worker sacked after going on leave for 24 years,231
Govt fires employee who skipped work for 24 years,232
Video Purports To Show Beheading Of U.S. Journalist By Militants,233
Mum faces real-life Sophie's Choice – as she tries to sell her son to fund daughter's care,234
"James Wright Foley, Kidnapped Journalist, Apparently Executed by ISIS",235
Journalist James Wright Foley reportedly beheaded by ISIS,236
ISIS Beheads American Journalist,237
Judd Nelson rebuffs Internet rumors that he died of a drug overdose.,238
"A message from Jim's mom, Diane Foley:",239
New iOS 8 bug can delete all of your iCloud documents,240
CPWD official sacked for absence from duty for 25 years,241
Another American hostage at risk by Islamic state,242
Obama: murder of James Foley 'shocks the conscience of the entire world',243
"'American bombing had signed my death certificate': Missing US journalist James Wright Foley goes unflinching to his death as ISIS behead him in horrific video, as a warning to Obama",244
This Letter To Parents From A 1970s Lego Set Contains An Important Message For Gender Equality,245
North Korea denies reports Kim Jong-un is to open state-backed restaurant in Scotland,246
Did NBC Nightly News Go Live To A Man Who Was Taking A Piss?,247
Fears journalist James Wright Foley beheaded by Islamic State jihadists in ‘message’ to United States,248
Kim Jong-un relying on ‘cobra wine’ after problems with trouser snake,249
ISIS Seemingly Beheaded American Journalist James Wright Foley,250
ISIS Appears To Behead American Photojournalist In YouTube Video,251
U.S. Hostage Luke Somers Killed During Yemen Rescue Bid: Family,252
"BREAKING: Islamic State, in video, beheads American journalist James Wright Foley who was kidnapped in 2012 -@BNONews",253
Zack Snyder’s ‘Batman V Superman: Dawn Of Justice’ Stolen Batmobile Rumor Put To Rest,254
"Video Appears to Show Beheading of Journalist James Foley, Who Went Missing in Syria",255
Government employee fired after skipping work for 24 years,256
‘Evil straight from the pits of hell': American journalist James Foley reportedly beheaded by ISIS,257
BREAKING: ISIS Beheads American Journalist James Wright Foley,258
New Audio Shows Michael Brown Was Shot at 11 Times,259
Missing American journalist reportedly beheaded by Islamic State ,260
Schoolboy almost killed by electric shock claims he now has superpowers like Magneto,261
James Foley remembered as 'brave and tireless' journalist,262
ISIL Beheads American Photojournalist in Iraq,263
Militant Group Says It Killed American Journalist in Syria,264
Insurgents killed in Nigeria despite alleged truce with Boko Haram,265
Watch: ISIS Claims to Have Captured U.S. Airdropped Weapons,266
Macaulay Culkin Hasn’t Died Despite What Everyone Is Saying On Facebook,267
Priest who died for 48 minutes says he met God and she’s a woman,268
Islamic State using 'SCORPION bombs' to terrorise victims,269
ISIS militants appear to behead abducted American journalist James Wright Foley in graphic video,270
"Six months after abducting Nigerian schoolgirls, Boko Haram reportedly wants to free them",271
Emotional sergeant-at-arms is greeted back to parliament with a rousing standing ovation a day after he heroically shot dead terrorist - the first time he used weapon in 30 year career,272
Video Purports to Show Beheading of American Journalist,273
Christian Bale in Talks to Play Steve Jobs in Danny Boyle's Biopic,274
BREAKING NEWS: ISIS beheads missing American journalist James Wright Foley as warning to US to cease action in Iraq,275
Islamic State releases video apparently showing the beheading of missing US journalist James Foley,276
"Rare Case: Seven Bosnian Girls, Aged 13 And 14, Fall Pregnant After Five-Day School Trip; Parents Outraged After School Cites 'Parental Neglect'",277
Islamic State militants claim to behead missing American journalist,278
"James Foley: American Journalist, James Wright Foley Beheaded in New ISIS Video [Breaking News]",279
"Islamic State, in video titled ""A Message to America,"" beheads American journalist James Wright Foley who was kidnapped in 2012",280
Video shows ISIL beheading of photojournalist James Foley,281
ISIS Reportedly Beheads U.S. Journalist James Wright Foley on Camera,282
Watch NAKED airport worker walk through scanner in bizarre protest against 'rough' guards,283
"Obama, Outraged Over Beheading, Vows to Stay on Course",284
Who Is Michael Zehaf-Bibeau? Ottawa Shooter Suspect Identified By Canadian Officials ,285
Audio recording allegedly captures moment Michael Brown was shot,286
Return of the Mac: Seth Rogen in talks to star as Apple co-founder Steve Wozniak in upcoming Steve Jobs biopic,287
Pure Evil: Islamic State Beheads American Journalist James Wright Foley,288
ISIL video claims beheading of kidnapped journalist James Foley,289
"Sick Kansas City man said not to have Ebola, U.S. plans new steps to fight virus",290
An Indian Civil Servant Just Got Sacked After Not Turning Up For Work For 25 Years,291
"Brian Williams: No, Our Meteorologist Was Not Peeing on Live TV",292
Man who skipped work for 24 years is finally fired,293
#ISIS beheads photojournalist James Wright Foley in a massage to US to end its intervention in #Iraq.,294
ISIS Beheads Kidnapped Photojournalist James Wright Foley in Horrific Video Message to the U.S.,295
ISIS Beheading of U.S. Journalist James Foley Posted to YouTube,296
"Absent from duty for 25 years, CPWD official dismissed",297
The Internet Tried To Make Axl Rose Its Latest Death Hoax Victim,298
Video: Marine survives Taliban sniper headshot thanks to helmet,299
US officials: Video shows American's execution,300
"Gill Rosenberg, Canadian-Israeli Woman Feared Kidnapped By ISIS, Says She's Safe",301
Islamic Militants Post Video Claiming to Show Beheading of U.S. Journalist,302
ISIS Beheads American Journalist James Foley in Video Message to U.S.,303
"Ann Arbor pizza delivery driver surprised with $2,000 tip",304
ISIS Reportedly Beheads American Photojournalist in Iraq,305
"ISIS beheads American photo-journalist James Wright Foley, threatens more to come",306
"No, Banksy Didn't Create That 'Charlie Hebdo' Tribute Cartoon, But That Doesn't Mean You Can't Appreciate It",307
Christian Bale in Talks to Play Steve Jobs (Exclusive),308
"No, Saudi TV Did Not Blur Out Images of Michelle Obama",309
"James Foley, Missing American Photojournalist, Reportedly Executed By ISIS In Syria",310
"What was fake on the Internet this week: Obama’s peace prize, pumpkin-spice condoms and insane winter snow",311
BREAKING NEWS: British-born U.S. photojournalist held hostage by al-Qaeda killed in failed rescue attempt in Yemen,312
Homeless man receives $100... then shocks everyone with how he spends it,313
Experts: More facts needed on purported audio recording of Michael Brown shooting,314
Missing Libyan jetliners raise fears of terror attacks on 9/11,315
'The youngest martyr - the cub of al-Baghdadi': ISIS boasts a 10-year-old fighter has been killed as he went into battle with his father in Syria,316
"L. Jinny? Abdel-Majed Abdel Bary, UK Rapper, Suspected in James Foley Killing: Reports",317
Michelle Obama's Hair Appeared Totally Uncensored on Saudi TV,318
James Foley Killer ‘Jihadi John’ Believed to Be Former London Rapper Abdel-Majed Abdel Bary,319
James Foley executioner said identified as British rapper  Read more: James Foley executioner said identified as British rapper,320
[Updated] Saudi State Television Allegedly Blurs Michelle Obama’s Face During Meeting With New Saudi King,321
Spider burrowed through tourist's stomach and up into his chest,322
Eyewitness Says Viral Video of Homeless Man Was Staged,323
Report: British intelligence has identified Foley's killer,324
"The rapper, the hacker and the terror travel guide writer. Is one of these British extremists Jihadi John? Three potential Islamic State 'Beatles' emerge as MI5 'zeroes in' on murderer who beheaded U.S. journalist James Foley",325
"Priest Dies, Wakes Up, Claims God Is a Woman. Huh?",326
Gateway Pundit,327
Senior Western Intelligence Official Confirms London Rapper Abdel Majed Abdel Bary Is A Suspect In The Foley Killing,328
Michelle Obama’s face blurred by Saudi state television,329
James Foley beheading: London rapper turned jihadist believed to be under investigation for murder of journalist in Syria,330
"UK spies identify Foley’s killer, Abdel-Majed Abdel Bary a key suspect",331
Saudis Say Michelle Obama Not Blurred on TV,332
British-born rapper is main suspect in search for ISIS jihadist who beheaded James Foley,333
British rapper a suspect in ISIS beheading,334
Christian Bale won't play Steve Jobs,335
Abdel-Majed Abdel Bary: London Rapper Identified As ISIS Militant Who Beheaded James Foley,336
London hip-hop artist Abdel-Majed Abdel Bary key suspect in hunt for killer of American journalist James Foley,337
Abdel Majed Abdel Bary Emerges as Suspect in Foley Beheading,338
The Guy Who Said a Spider Burrowed Under His Skin? Experts Say…,339
"Despite no Ebola case in Kansas City, the rumor goes viral",340
Rapper identified as James Foley's executioner: reports,341
Man chops off own penis after being dumped by his girlfriend,342
Saudi Arabia 'fatwa over building of snowmen',343
Michelle Obama Not Blurred Out on Saudi TV,344
"Thanks Uncle Sam, we have your weapons airdrop: ISIS taunts America over intercepted weapons meant for Kurds",345
‘Wild Misinformation’: Brian Williams Explains the Mike Seidel Liveshot,346
"US, UK eye rapper as British-born militant who beheaded journalist James Foley",347
Abdel-Majed Abdel Bary in Foley beheading: London rapper songs help identify him,348
Former British Rapper Reportedly Under Investigation for James Foley Beheading,349
"No, Saudi TV Didn't Blur Out Michelle Obama's Face When the President Met King Salman",350
British Man Slaps People If They Sneeze In Public,351
"Meteorite makes big crater in Nicaragua, government says",352
Nicaragua asks U.S. for help investigating meteorite crater,353
Meteorite 'caused mysterious boom in Nicaragua',354
"Rumor: Gold Apple Watch Edition priced up to $5,000, steel version at $500, will debut on Feb. 14",355
Pope says dogs can go to heaven: ‘Paradise is open to all of God’s creatures’,356
Scientists Doubt That Meteor Caused Crater In Nicaragua,357
"Meteorite Strikes Nicaraguan Capital, Creates 16-Foot-Deep Crater",358
ISIS leader ‘killed’ in US airstrikes,359
"Rare meteorite impact causes blast in Nicaragua's capital, Managua",360
"Apple Watch Pricing to Reportedly Start at $500 for Stainless Steel, $4,000 for Gold",361
Nasa questions whether crater in Nicaragua caused by meteorite,362
"Stainless steel Apple Watch could cost just $499, but gold will be 10 times as pricey",363
Sick Mum Sedated After Trying To Eat Baby,364
"Nigeria Says It Struck A Cease-Fire With Boko Haram, But Are They Talking To The Right Guy?",365
"Apple Watch pricing: Will you spend $5000 for Gold edition, $500 for stainless steel?",366
Doubts cast over Nicaragua meteorite claim,367
Meteorite leaves crater in Nicaraguan capital Managua,368
See the Crater a Meteorite Made in Nicaragua,369
Report: Amazon to Launch Ad-Supported Streaming Service,370
"Explosion reported near the Nicaraguan capital attributed to meteorite impact, but experts, including NASA, cast doubt on claims",371
"Report: Stainless steel Apple Watch will be priced $500, gold at $5,000",372
Meteorite strike in Nicaragua puzzles experts,373
"Rumor: Stainless Steel Apple Watch Will Cost $500, Gold $4,000",374
"SMALL METEORITE STRIKES NICARAGUA, GOVERNMENT SAYS",375
"Suspected meteorite leaves crater in Managua, is linked to asteroid",376
Small Meteorite Hits Managua,377
Meteorite Leaves House-Sized Crater in Nicaragua’s Capital,378
Large space object slams Nicaragua’s capital as asteroid passes Earth,379
Did a Meteorite Impact in Nicaragua over the Weekend?,380
Amazon plans a streaming-video alternative,381
Nicaragua says meteorite probable cause of blast in capital,382
NASA Raises Doubts About Reports of Nicaraguan Meteorite,383
"Report: Apple Watch to start at $500 in stainless steel, thousands for gold model",384
"Apple Watch Stainless Steel variant reportedly priced at $500, $4,000 for the gold variant",385
"Small meteorite strikes Nicaragua, government says",386
Missing Libyan Jetliners Raise Fears of Suicide Airliner Attacks on 9/11,387
Nicaraguan commission on possible meteorite crash presents rock samples,388
"Managua explosion not a meteorite, NASA suggests",389
Meteor Leaves 40-Foot Crater Near Managua's Airport,390
Nicaragua meteorite: Experts attempt to understand whether mysterious meteorite fell from passing Pitbull asteroid,391
"Nun gives birth, intends to keep baby",392
Found! Missing Afghan Soldiers Spotted Trying to Enter Canada,393
Islamic State leader Abu Bakr al-Baghdadi wounded in airstrike: claims,394
Transgender Teen Leelah Alcorn Blames Christian Parents In Tumblr Suicide Note,395
Lisa Bonet Did NOT Send “Cryptic Tweet” About Bill Cosby — Twitter Account Fake!,396
Transgender teen leaves note on Tumblr blaming Christian parents for suicide,397
Saudi Arabian Airline Rep Denies Plan to Separate Men and Women on Flights,398
"Transgender teenager, 17, leaves heartbreaking suicide note blaming her Christian parents before walking in front of tractor trailer on highway",399
Report: NHL expansion to Las Vegas 'a done deal',400
"Transgender Teen Leelah Alcorn Commits Suicide By Walking In Front Of Semi Truck, Blames Christian Parents In Viral Suicide Note",401
Transgender teen struck and killed on Ohio interstate in apparent suicide,402
Charles Manson's fiancee used him for his ... corpse?,403
"Trans Teen Dies by Suicide, Leaves Tumblr Note: 'There's No Way Out'",404
Transgender Teen Commits Suicide & Pens A Heartbreaking Note Urging The World To Change,405
"Ohio Trans Teen Commits Suicide, Leaves Heartbreaking Note Declaring “There’s No Way Out”",406
"Transgender teen who committed suicide left heartbreaking note saying she would ""never be happy""",407
Charles Manson’s fiancee allegedly wanted to marry him for his corpse,408
4-inch iPhone 6 reported to be in development,409
Islamist terrorists Jabhat Ansar al-Deen tweet picture of Texas plumber’s truck fitted with anti-aircraft gun in Syria,410
Texas plumber's truck on front line of Syria war,411
"‘Teletubbies’ Sun Baby: Fans Freak Out Over Jess Smith, 19",412
Texas plumber baffled after truck ends up in the hands of Syrian rebels,413
Did a plumber's pick-up truck from Texas end up carrying an anti-aircraft gun for Islamic fighters on the front lines of Syria?,414
Texas Plumber Isn't Sure How Extremists In Syria Ended Up With His Work Truck,415
Texas plumber's truck spotted in Syria: 'We have nothing to do with terror at all',416
Texas Plumber Has ‘No Idea’ How Company Truck Ended Up With ISIS,417
Texas plumber threatened over jihadis using his old truck,418
Texas City plumber's truck ends up in Syrian war,419
Texas Truck Winds Up in Syria With Islamic Militants,420
"BATMOBILE NOT STOLEN, MTV CONTEST PRIZE REMAINS UNCLAIMED",421
How did a Texas plumber's truck end up with Syrian rebels? (+video),422
US probing claims ISIS fighters seized airdropped weapons meant for Kurds,423
"ISIS Video Shows Execution of David Cawthorne Haines, British Aid Worker",424
Unverified video shows beheading of aid worker David Haines,425
David Haines beheading video confirmed genuine; UK PM Cameron vows to hunt down ISIS 'monsters',426
ISIS Extremists Claim to Behead British Hostage David Haines,427
Banksy 'Arrested & Real Identity Revealed' Is The Same Hoax From Last Year,428
Cameron vows to hunt down IS 'monsters' after Haines murder,429
"David Haines Beheaded By ISIS, Execution Video Contains Threats Against UK: Reports",430
ISIS Video Claims to Show Beheading of British Hostage,431
KFC Gets Occupational Business License To Sell Marijuana In Colorado Restaurants KFC Gets Occupational Business License To Sell Marijuana In Colorado Restaurants,432
